,vendor_name,address_line_1,city,state,zip,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
241,"Shortstop Ventures, Inc.","1255 Bay Street","Staten Island","New York",10305,40.61276,-74.064987,1,rooftop,1255,"Bay St",,,"Staten Island",NY,"Richmond County",10305,US,"City of New York"
242,"SI Caliber Construction, LLC","1602 Richmond Road","Staten Island","New York",10304,40.590382,-74.100717,1,rooftop,1602,"Richmond Rd",,,"Staten Island",NY,"Richmond County",10304,US,"City of New York"
243,"Silent Rise, LLC","9 Lemondrop Court","Staten Island","New York",10309,40.541592,-74.222115,1,rooftop,9,"Lemondrop Ct",,,"Staten Island",NY,"Richmond County",10309,US,"City of New York"
244,"Skyline Electrical Contracting Corp.","40 Marble Loop, Suite F","Staten Island","New York",10309,40.537205,-74.239639,1,rooftop,40,"Marble Loop",Ste,F,"Staten Island",NY,"Richmond County",10309,US,"City of New York"
245,"Speraco Inc.","798 Klondike Avenue","Staten Island","New York",10314,40.591528,-74.161926,1,rooftop,798,"Klondike Ave",,,"Staten Island",NY,"Richmond County",10314,US,"City of New York"
246,"Stafford Unlimited, LLC","4366B Victory Boulvard","Staten Island","New York",10314,40.637403,-74.129786,0.68,street_center,,"Ave B",,,"Staten Island",NY,"Richmond County",10302,US,"TIGER/Line® dataset from the US Census Bureau"
247,"Star Factor of NYC Inc","65 Piedmont Ave","Staten Island","New York",10305,40.602167,-74.074425,1,rooftop,65,"Piedmont Ave",,,"Staten Island",NY,"Richmond County",10305,US,"City of New York"
248,"Star Factor of NYC Inc","65 Piedmont Ave","Staten Island","New York",10305,40.602167,-74.074425,1,rooftop,65,"Piedmont Ave",,,"Staten Island",NY,"Richmond County",10305,US,"City of New York"
249,"Star Universe Renovation Corp","823 Nugent Ave","Staten Island","New York",10306,40.574293,-74.095153,1,rooftop,823,"Nugent Ave",,,"Staten Island",NY,"Richmond County",10306,US,"City of New York"
250,"Staten Island Stages LLC","2911 Arthur Kill Road","Staten Island","New York",10309,40.549628,-74.227369,1,rooftop,2911,"Arthur Kill Rd",,,"Staten Island",NY,"Richmond County",10309,US,"City of New York"
